SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,245.654,245.51,245.753,10.34,2.54108602,27.57506202
2,123.427,123.325,123.559,11.24,1.38880316,27.40033116
3,82.5329,82.408,82.99,12.11,1.0050089,27.3410889
4,62.04,61.983,62.286,13.06,0.81345516,27.31516716
5,49.7997,49.767,49.868,13.97,0.69665596,27.29771196
6,41.5629,41.499,41.61,14.9,0.619989,27.287109
