SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,112.721,112.25,113.821,13.48,1.53430708,27.62373908
2,74.8487,74.022,75.76,15.77,1.1947352,27.5886552
3,50.0845,49.763,50.511,16.76,0.84656436,27.44247636
4,37.6585,37.398,37.977,18.01,0.68396577,27.38014977
5,30.8755,30.414,32.231,18.98,0.61174438,27.35389638
6,25.747,25.195,26.839,20.33,0.54563687,27.33092487
