SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,395.641,395.502,395.782,9.96,3.94198872,27.77573272
2,203.967,203.857,204.088,10.69,2.18170072,27.54899672
3,136.019,135.974,136.063,11.61,1.57969143,27.49118743
4,101.995,101.963,102.037,12.3,1.2550551,27.4387591
5,81.6426,81.6,81.891,13.17,1.07850447,27.42337647
6,68.0624,68.034,68.098,13.9,0.9465622,27.4017782
