SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,488.235,488.044,488.501,10.82,5.28558082,28.37757282
2,381.138,380.964,381.325,11.65,4.44243625,28.39183625
3,254.069,253.96,254.287,13.17,3.34895979,28.31466379
4,190.669,190.58,190.767,13.82,2.63639994,28.11026394
5,153.692,153.658,153.885,15.21,2.34059085,28.10951085
6,129.405,129.357,129.468,15.76,2.04041568,28.00467168
