SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,456.309,453.065,461.475,13.67,6.30836325,29.61656325
2,297.481,296.651,298.619,16.6,4.9570754,29.5681234
3,205.764,203.768,207.928,17.83,3.70735624,29.04393224
4,157.917,153.857,160.246,18.88,3.02544448,28.74347648
5,154.757,146.3,159.628,19.56,3.12232368,28.84529968
6,131.803,119.998,138.81,20.33,2.8220073,28.7115273
