SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,437.231,437.021,437.454,10.24,4.47952896,27.97989696
2,218.792,218.652,218.981,10.77,2.35842537,27.60657737
3,145.875,145.804,145.967,11.32,1.65234644,27.48461044
4,109.511,109.45,109.749,11.8,1.2950382,27.4170462
5,87.5686,87.516,87.611,12.26,1.07411086,27.37322286
6,73.1503,73.113,73.188,12.84,0.93973392,27.35422992
