SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,123.306,123.234,123.788,10.19,1.26139972,27.27109572
2,95.326,95.283,95.526,10.96,1.04696496,27.28275696
3,63.528,63.479,63.734,12.63,0.80496042,27.29508842
4,47.7336,47.707,47.947,13.33,0.63913351,27.25555751
5,38.5001,38.473,38.524,14.62,0.56322088,27.25502888
6,32.4394,32.405,32.67,15.12,0.4939704,27.2326104
